notification_id,event_id,event_type,user_id,source_user_id,post_id,comment_id,created_at,device,delivery_channel,priority,seen,status,app_version,country,latency_ms,motivo_rechazo,rechazado
N01807,E01807,COMMENT,U0056,U0200,P0041,C01807,2026-04-14 13:05:50,WEB,EMAIL,HIGH,True,SENT,0.9.0,AR,6215,SENT requiere app_version >= 1.0.0,1
N00388,E00388,COMMENT,U0049,U0106,P0036,C00388,2026-04-25 11:10:45,WEB,EMAIL,HIGH,False,SENT,1.2.0,CL,14035,,0
N01673,E01673,FOLLOW,U0158,U0186,,,2026-04-19 13:28:10,WEB,EMAIL,MEDIUM,False,FAILED,1.2.0,AR,17184,,0
N00592,E00592,COMMENT,U0182,U0169,P0031,C00592,2026-04-17 12:38:42,WEB,EMAIL,LOW,True,FAILED,2.0.0,PE,24171,,0
N00302,E00302,LIKE,U0200,U0068,P0034,,2026-04-26 19:26:18,MOBILE,PUSH,LOW,False,SENT,2.0.0,PE,7884,,0
N00239,E00239,FOLLOW,U0017,U0068,,,2026-04-19 18:04:31,WEB,IN_APP,MEDIUM,True,PENDING,1.1.0,PE,5354,,0
N01374,E01374,LIKE,U0050,U0079,P0041,,2026-05-04 18:57:32,MOBILE,IN_APP,HIGH,True,PENDING,2.0.0,AR,1736,,0
N01962,E01962,FOLLOW,U0054,U0182,,,2026-99-99 99:99:99,WEB,PUSH,MEDIUM,False,FAILED,1.1.0,AR,7626,timestamp_formato_invalido,1
N00956,E01782,LIKE,U0016,U0109,P0035,,2026-04-10 09:28:29,MOBILE,PUSH,LOW,True,PENDING,1.1.0,MX,1489,,0
N00266,E00266,LIKE,U0185,U0001,P0004,,2026-04-23 19:26:10,WEB,EMAIL,MEDIUM,False,PENDING,2.0.0,CL,15911,,0
N00314,E00314,FOLLOW,U0197,U0159,,,2026-04-22 19:42:23,MOBILE,IN_APP,MEDIUM,True,FAILED,1.1.0,CL,11385,,0
N00761,E00761,COMMENT,U0058,U0121,P0026,C00761,2026-04-28 13:27:57,WEB,EMAIL,LOW,True,PENDING,2.0.0,AR,4783,,0
N00077,E00077,COMMENT,U0087,U0160,P0045,C00077,2026-04-17 09:54:21,WEB,EMAIL,HIGH,False,FAILED,2.0.0,CL,20432,,0
N00909,E00909,FOLLOW,U0065,U0168,,,2026-05-07 09:19:36,WEB,IN_APP,MEDIUM,True,PENDING,2.0.0,CL,14614,,0
N00966,E00966,FOLLOW,U0117,U0126,,,2026-04-22 19:55:41,MOBILE,PUSH,LOW,False,SENT,1.1.0,AR,4513,,0
N01016,E01016,COMMENT,U0183,U0075,P0020,C01016,2026-05-02 17:40:19,WEB,IN_APP,MEDIUM,False,SENT,1.1.0,AR,20104,,0
N01190,E01190,COMMENT,U0175,U0150,P0032,C01190,2026-04-15 15:51:44,MOBILE,PUSH,LOW,True,SENT,1.1.0,CL,14555,,0
N00230,E00230,LIKE,U0165,U0174,P0010,,2026-04-21 17:00:39,MOBILE,PUSH,HIGH,False,PENDING,1.1.0,AR,13690,,0
N01102,E01102,LIKE,U0137,U0008,P0004,,2026-04-25 11:22:34,WEB,EMAIL,LOW,True,FAILED,1.2.0,CL,7228,,0
N01985,E01985,LIKE,U0129,U0111,P0022,,2026-04-15 13:58:44,WEB,IN_APP,LOW,True,SENT,1.2.0,CL,-4893,latency_ms no puede ser negativo,1
N01361,E01361,COMMENT,U0117,U0194,P0039,C01361,2026-04-20 17:34:49,WEB,PUSH,HIGH,True,PENDING,1.2.0,CL,5388,,0
N00126,E00126,FOLLOW,U0148,U0062,,,2026-05-03 12:27:00,MOBILE,IN_APP,MEDIUM,False,SENT,1.0.0,PE,2417,,0
N01719,E01719,COMMENT,U0048,U0038,P0046,C01719,2026-05-02 09:10:12,WEB,PUSH,HIGH,True,RETRY,1.2.0,PE,248,status fuera de dominio,1
N00058,E00058,FOLLOW,U0195,U0135,,,2026-04-28 09:53:12,MOBILE,IN_APP,MEDIUM,False,SENT,1.2.0,CL,23400,,0
N01715,E01715,COMMENT,U0138,U0106,,,2026-04-22 16:27:50,MOBILE,EMAIL,MEDIUM,True,PENDING,2.0.0,CL,516,COMMENT debe tener comment_id; COMMENT debe tener post_id,1
N01315,E01315,FOLLOW,U0175,U0048,,,2026-05-01 21:58:46,MOBILE,EMAIL,LOW,False,PENDING,1.2.0,MX,9368,,0
N00680,E00680,LIKE,U0085,U0146,P0041,,2026-04-08 17:36:55,WEB,IN_APP,MEDIUM,True,PENDING,1.0.0,MX,6371,,0
N00717,E00717,COMMENT,U0047,U0129,P0008,C00717,2026-04-19 21:13:11,MOBILE,EMAIL,LOW,True,SENT,1.2.0,MX,14641,,0
N01117,E01117,FOLLOW,U0045,U0100,,,2026-04-09 10:23:47,WEB,EMAIL,LOW,False,SENT,1.0.0,MX,13647,,0
